,pessoa_id,idade,renda,situacao_moradia,tempo_trabalhado,emprestimo_id,motivo_emprestimo,score,valor_emprestimo,taxa_juros,inadimplente,razao_renda_emprestimo,historico_id,tempo_historico_credito,devedor
57,fZu60d7Q-SiU6,23,36000,Aluguel,7,Y0Q1IvA9-FCAJ,Médico,5,4000,10.99,1,0.11,LDy2WPbu-jyod,4,0
58,trr4Xfib-t7jj,23,86000,Aluguel,0,Jv7cCsSJ-SIQS,Negócio,5,4800,9.62,0,0.06,o01fghQD-3wXv,3,0
59,jwLtdBd0-mmSr,26,27600,Aluguel,0,LyCgLqOl-AObT,Médico,6,4725,6.54,0,0.17,qKdZTgtg-ElHS,2,0
60,BYmg43Fi-Mvaj,21,40000,Aluguel,3,i536G5cd-egh3,Educação,3,7000,14.46,0,0.17,M2sgMabi-q39B,3,0
61,LmwskARR-HyA3,21,41900,Aluguel,2,0YpSbTgj-CZKT,Negócio,4,16000,12.84,1,0.38,j3jnnG3T-iF3N,2,1
62,mtROzGjg-OxEf,28,92000,Hipotecada,8,zf7RuIIa-WJua,Pessoal,4,7750,14.22,1,0.08,f16HfBtX-atNg,6,0
63,rab9Ff8j-XYqI,23,60000,Aluguel,0,njPidLt8-wjG5,Negócio,6,8400,7.49,0,0.14,e4sGSB0W-WsLj,3,0
64,XTdjlxvj-GDU2,24,56400,Aluguel,0,Yq8qB598-OFOW,Educação,2,4000,14.75,1,0.07,XU7d4xp8-ateG,2,1
65,B9wkkAJn-gMDv,30,30000,Hipotecada,3,tjasoCDk-1L0R,Melhoramento do lar,5,4400,11.99,1,0.15,Q9CwuIan-I2eW,5,0
66,hRO9kOL5-Y29L,26,65000,Hipotecada,11,qBv7Ad3u-unNs,Negócio,6,12000,7.9,0,0.18,J7M98CyW-tebW,2,0
67,4EAZfNNK-Lay0,28,22000,Própria,5,6QXANR2x-6LEI,Educação,6,8000,6.99,0,0.36,lKZTU119-l7OX,5,0
68,njGBnugm-85Dv,30,110400,Aluguel,1,QKDlpIm7-sqMC,Negócio,3,14000,16.89,1,0.13,ObEkaKZr-9MDa,6,0
69,9IExepwM-nx0W,25,50000,Aluguel,3,455o2JIj-drEP,Pessoal,3,4000,14.61,0,0.08,Z4CP1kee-AShU,4,1
70,zKgrT1aS-sD9F,27,30000,Aluguel,5,fOffGXYC-irng,Pessoal,5,4975,10.37,0,0.17,4KP4y6jh-GQm8,10,0
71,D00TwgLh-krqw,22,71004,Aluguel,6,slZMKNI7-WZIv,Educação,5,1800,11.12,0,0.03,48S099Y1-DNNM,4,0
72,noSvkcI9-CZvw,24,35364,Aluguel,1,81hQhevO-NCOK,Médico,5,20000,12.53,1,0.57,0ltmMNcA-4JDc,4,0
73,frXEW1fG-c8nb,25,42996,Própria,1,632mp1hT-N1nL,Negócio,3,7200,14.11,0,0.17,2lB70R7R-fYfE,4,0
74,wuM1Jfre-U3o4,39,78000,Aluguel,3,tsf37AEL-srJs,Melhoramento do lar,3,25000,16.02,1,0.32,hsU2TWI0-Lb74,17,0
75,XGrCoDSO-o1xh,22,41000,Aluguel,2,Xf5yXYgw-c8Dj,Quitação de dividas,3,3600,16.77,1,0.09,wnkIY26E-YjPD,3,1
76,Sivpiuku-g8iM,26,105000,Hipotecada,6,69aK4mIg-vOE8,Quitação de dividas,5,12000,11.99,0,0.11,sif9RvXi-ePND,2,0
78,hXnpkRF5-Lhs0,28,72000,Aluguel,3,z6IPddO8-laWI,Médico,4,12000,14.27,0,0.17,3T6aB7dv-oy7A,6,1
79,JAoxCRH2-AXOj,26,80730,Hipotecada,7,aky6Hkyu-TT9F,Melhoramento do lar,6,9600,7.29,0,0.12,3DrcrbeW-I0ra,2,0
80,l3GJZX2d-FL9R,23,70000,Hipotecada,7,W4k7lYUD-tlYy,Educação,4,2000,13.49,0,0.03,RQjTX0dE-rrFm,2,1
81,Rg3NftRa-AQcu,22,62000,Hipotecada,5,9ESoPATv-TkIU,Médico,5,3000,8.7,0,0.05,JF3FjoQH-IvJz,3,0
82,035BR3xf-elRK,22,26000,Própria,2,o2M0strt-O0lM,Educação,6,7100,7.49,0,0.27,EaSrtbuL-pGez,2,0
83,qwbJbQyS-nQOK,25,87000,Aluguel,6,b6qeT23z-LzU7,Quitação de dividas,6,13000,7.29,0,0.15,yo9XqTmJ-NxcS,2,0
84,7lzuriOu-fy6P,24,79650,Aluguel,4,FlKDdDmz-2oW3,Pessoal,2,6000,16.35,1,0.08,7YXYXPSO-px3c,3,1
85,xxCkiscF-H9kC,34,91000,Aluguel,11,qE6OSnmx-3ovj,Médico,5,25000,11.36,0,0.27,gCEGD9RN-rD9o,5,0
86,GN6ytQnE-DzMK,24,117996,Hipotecada,6,WbeWEny4-1t34,Negócio,2,18000,17.04,0,0.15,mMtKwh3x-cEpY,3,1
87,AW2hzWk7-DMde,22,55000,Hipotecada,2,Ofsk3Lt5-tHSB,Médico,4,4800,12.98,0,0.09,YouRMxxM-TjOI,4,0
88,uuxfZCc3-yREE,31,60000,Hipotecada,5,uCmuTGJI-lgY4,Médico,6,7200,6.03,0,0.12,99KTbbun-q4wt,8,0
89,XULqSLp8-AJfC,25,31200,Hipotecada,3,BvDHiQr2-QybI,Médico,6,11200,5.42,0,0.36,MmCzFF4M-ItPq,2,0
90,cTUwt8kS-ARBj,23,69000,Aluguel,7,FoQQNiNY-jtht,Quitação de dividas,5,4800,10.75,0,0.07,zbYMexHQ-ewLT,2,0
91,t59ApC2m-YYFd,30,28800,Aluguel,1,BztZjz7l-APOx,Quitação de dividas,4,8000,12.73,0,0.28,FlYfM4NA-7CZJ,10,0
92,01mYIc8o-5SsX,22,45000,Aluguel,3,zzGGi9ec-u2LF,Negócio,5,5000,12.42,0,0.11,2l0WvCkT-vCj9,2,0
93,gbLzlMF9-kHDf,35,62000,Hipotecada,9,NrK7jAmv-tdLd,Melhoramento do lar,5,13000,9.25,1,0.21,TACSdk65-yeyj,10,0
95,XsXlWTq3-4ua1,26,65219,Aluguel,11,PnN9EGAw-IqXX,Quitação de dividas,3,21000,14.09,1,0.32,vl6pedXL-60R6,3,0
96,0ukL0auq-BYJI,41,33000,Aluguel,2,rQokG9sY-x6tH,Médico,4,13750,13.79,1,0.42,rmQ42xtt-QMEc,11,1
97,Q6Ky6UtP-7hjb,30,67000,Hipotecada,6,arAp8q1t-Ki9W,Melhoramento do lar,6,10000,6.99,0,0.15,PIbtCvUw-qf3K,6,0
98,TisYGu9A-jDvt,26,54011,Aluguel,10,zXODYzM4-3FBE,Educação,3,9500,16.29,0,0.18,QYDkNAGS-xs3C,2,0
99,tAmwu9YU-qjz5,32,58000,Aluguel,4,cUpEbQSn-hndn,Pessoal,5,12000,11.26,0,0.21,EpIMqpE5-o9GD,10,0
100,UzAn1ktZ-Ovcp,23,24290,Aluguel,0,WgKsXSb3-puib,Médico,6,3400,7.51,0,0.14,dQ2x7e5t-fdom,4,0
101,D4aitPeR-zShn,23,84000,Aluguel,1,Yq2YEE4a-HeKr,Negócio,6,10000,7.49,0,0.12,M1A9RX3q-9NIr,4,0
102,SQujPyke-CXhC,62,51600,Aluguel,2,1DIOinat-Ckph,Pessoal,6,8525,6.54,0,0.17,WqPgOxjw-xONK,24,0
103,vGJAbh5z-llW7,39,18300,Aluguel,0,fPHXzWc1-qMiU,Educação,3,1200,14.74,1,0.07,br63J2Gp-5t9b,17,0
104,NnboKjqy-6NCG,27,125000,Hipotecada,1,QYd8Jvgh-SuYB,Melhoramento do lar,6,24000,6.91,0,0.19,AYbR1NjT-mfnd,8,0
106,y8KjZlrL-hjyN,24,55152,Hipotecada,8,bf8RYJSD-Kc3R,Educação,5,16000,11.49,0,0.29,unsEbBI5-bXYJ,4,0
107,pI1aW4xl-3NaD,23,62900,Aluguel,7,xcIjDR4B-G3p0,Médico,3,5000,14.84,1,0.07,hy9xvFl9-EkhM,4,0
108,U3gSlG9i-Wn8g,44,82000,Hipotecada,5,sv85BbHe-li59,Quitação de dividas,4,8400,12.84,1,0.1,XdWUUbdU-pY84,17,1
109,HAFuBdEH-Yz9T,26,90000,Hipotecada,10,n6C3YGKX-qbuJ,Pessoal,5,13000,10.59,0,0.14,oL7WaW3B-6rLQ,3,0
110,Tu0n0Zh2-omJu,35,32900,Aluguel,4,jy5lZ3aG-qH7J,Melhoramento do lar,4,4800,13.23,1,0.15,8BXR5c4m-LTuc,9,1
111,CfJgAkiE-L3Ay,28,58000,Hipotecada,8,kodlRPDo-mLZS,Negócio,6,9600,7.49,0,0.17,vXhJvkfl-iGed,7,0
112,9FDLodgY-Lpzf,23,60000,Própria,2,H9LosMN1-QPaH,Médico,3,18500,15.33,0,0.31,87qA8hsK-BDXZ,2,0
113,HYNz400D-rzsb,22,60000,Própria,7,eNAftsYx-hTla,Negócio,3,15000,16.49,0,0.25,4QvCYJZz-Qww5,2,1
114,udkrALzv-WsCF,22,80000,Aluguel,1,vNM7U0tq-eKvS,Educação,5,18000,10.99,0,0.23,KRn3vfJT-RFyW,4,0
115,MBg8Sndd-NSF5,22,66300,Aluguel,3,6S9XmOX6-BFnY,Médico,3,7500,14.96,1,0.1,dcP6KL1I-J2o0,2,0
116,F9a6bBd9-Xe2o,27,68000,Aluguel,4,8HuvzhAq-k7Xi,Melhoramento do lar,6,8700,7.88,0,0.13,L42AQtMx-SEGR,5,0
117,mBDQkXxn-W09H,25,42000,Hipotecada,3,jdYJNzZm-Y2O5,Melhoramento do lar,6,10000,5.42,0,0.24,drKbdQub-4ilz,2,0
118,MjtkzxGI-S8zT,26,50000,Aluguel,2,yPI3XAfA-KpmL,Negócio,6,7000,9.63,0,0.14,ARye77Ge-9Njo,2,0
119,EPFtHN44-qYH3,25,40800,Hipotecada,9,qKT61rCA-x8wy,Médico,5,9700,9.63,0,0.24,k5Yzbtik-pypS,4,0
120,LzpqbSZr-ca7S,24,65000,Hipotecada,5,CBiLxu8u-phiB,Médico,5,2000,9.62,0,0.03,qlDpBMRe-yyHd,3,0
121,dp9O0OvK-Lr6a,36,37008,Aluguel,8,9HclnAUb-HoAS,Negócio,4,6000,14.79,0,0.16,iuWeMFk1-779a,14,1
122,Brm1ByNd-GavL,36,60000,Aluguel,0,L3BK1GkU-A89j,Melhoramento do lar,4,15000,13.57,0,0.25,wt2FIFMl-iw13,12,0
123,4NrcSSzj-kxcY,24,74400,Aluguel,1,dc1rhniP-Gw9N,Médico,6,3500,7.29,0,0.05,sfrX5Qeo-wGlH,3,0
124,50CBXOKP-iCiK,23,50400,Hipotecada,7,h2iCSL0v-KXgp,Educação,5,2500,10.99,0,0.05,BybjLe0x-gFRQ,4,0
125,zKhBXo2u-WqgH,23,70000,Hipotecada,5,oWxhfJ5z-XbcS,Educação,5,20000,12.21,0,0.29,dNdJZagZ-EYux,4,0
126,pyGU8aXH-bRYq,23,79996,Hipotecada,2,rS3Z8dhb-7y65,Educação,2,24000,16.32,0,0.3,6R4iW5xa-u6TZ,3,1
127,hBn6Nj78-fvgu,26,31200,Aluguel,8,w1JRom7y-y1od,Pessoal,6,5000,8.63,0,0.16,2SebLJsQ-lj5F,2,0
130,kwp2urpo-h485,22,60000,Hipotecada,1,xe26CbcL-poCR,Educação,6,4800,7.49,0,0.08,dvZgvMh3-0q5r,3,0
131,Zmlj5iX7-j34z,24,96408,Aluguel,1,NGgzQY1F-ns7G,Educação,4,7700,12.53,0,0.08,wW1r1qm7-qwZj,4,1
132,GMtX8vGd-szHN,26,67150,Hipotecada,9,PB8oZDMp-1Fvd,Médico,3,15000,14.11,1,0.19,D89Erjab-4vyE,4,1
133,3H0jEsvK-iqm2,25,48000,Hipotecada,3,r5zGefac-5SE7,Quitação de dividas,5,4800,10.74,0,0.1,CcNFtAe0-GSDK,4,0
134,qOcqMw7e-cSEm,24,60000,Aluguel,8,KZ88A61W-pFpI,Pessoal,3,20000,13.87,1,0.33,uDYkqUoH-hRNe,4,0
135,8iU3hdIW-hYwp,23,42048,Hipotecada,7,OoFrEbKU-vLRd,Educação,6,8500,7.74,0,0.2,qKF0nSCk-ixMa,3,0
136,luGgeygo-6AIW,28,30000,Aluguel,7,lSMwmmlU-TKr2,Negócio,5,10000,10.38,1,0.33,LIsjNEp6-kUGm,5,0
137,MKfuknSh-bsHu,32,73200,Hipotecada,1,CzBKrlJ8-ZuBH,Pessoal,5,7200,10.2,0,0.1,03eOXaat-XXnM,7,0
138,hhXkoBfz-wEx8,23,65000,Aluguel,0,hqumOMyJ-GF8j,Educação,5,10000,11.49,0,0.15,gv9qIaBS-Tvq2,4,0
139,pcdZqQRN-i3vn,23,70000,Hipotecada,4,Zy4v3Bum-n0pf,Educação,6,8400,8.0,0,0.12,IDhYmRXc-ionk,3,0
140,QgNbmxrQ-2N1q,22,36000,Própria,6,0WA9GIDS-bk0v,Educação,5,14500,10.99,0,0.4,ddWhUy6O-33GB,3,0
141,cfeEhbYx-Akl2,25,45000,Hipotecada,7,aIXlFeaP-dYY4,Educação,6,7500,8.0,0,0.17,B7ci4mW9-ETvs,3,0
143,TnlN3Bys-T6d6,27,102000,Hipotecada,9,bYLSW2s2-IKtp,Pessoal,6,6000,7.49,0,0.06,DsnZLjnO-8HT4,9,0
144,vbwEfJTD-LdID,35,52000,Aluguel,2,6ABpkht2-SdCN,Médico,5,3000,11.48,0,0.06,CE0NeKdg-IICE,7,0
145,NNIllnbK-lPGm,35,95028,Aluguel,2,vs4HF7wi-ml41,Melhoramento do lar,3,5000,14.42,1,0.05,9tpFQq96-b5Po,6,1
146,66Gssbje-TnSq,23,39000,Aluguel,1,E0kfchUv-F5Fx,Quitação de dividas,3,6000,15.99,1,0.15,ZTpvlw0d-Ad9j,3,1
147,KDssFe6r-dx4x,32,98300,Hipotecada,3,y7afxWBX-MrGL,Negócio,4,5000,12.23,0,0.05,RaUSKk0a-Uefj,10,0
148,tE2MMb33-ZtT7,34,89000,Aluguel,3,j6eaWF98-rxdq,Melhoramento do lar,3,35000,18.25,1,0.39,oJM66DQo-WPHF,8,0
149,4r0gkvs0-1A9y,26,85000,Hipotecada,8,mj1m2ex4-dikh,Médico,6,15000,7.88,0,0.18,kQnkKSED-jJkb,4,0
150,bRYeof0L-cqHI,30,100000,Aluguel,13,0T2YFLWb-IZze,Quitação de dividas,6,12000,7.88,0,0.12,0Y1a64ag-4RLW,9,0
151,SiPDzWMS-oU2B,21,45176,Aluguel,1,18evmfGj-3p6C,Médico,5,12000,11.49,0,0.27,LXuAPRKc-L9IB,3,0
152,8EWFYPgl-Emm6,23,24000,Aluguel,0,CcMNWC38-um4K,Educação,5,6250,12.53,0,0.26,NiP7UfnO-TCwm,3,0
153,kpkaGHqv-qoDv,25,96000,Hipotecada,6,7w6qfwPq-NekE,Melhoramento do lar,4,21000,14.65,0,0.22,zHmNhaRp-6x1u,3,0
154,uFjPRJYe-am5E,22,12600,Aluguel,2,daN24KwG-gCRG,Pessoal,5,4000,10.37,1,0.32,TGQzNKEi-kUxS,4,0
155,eZ1HQNRm-P6Y2,26,87000,Hipotecada,10,bMbaYW67-LkXW,Quitação de dividas,5,10000,9.99,0,0.11,BoncCip0-6tRK,3,0
156,s75pWmDa-xzk8,24,56000,Hipotecada,2,rUuBZnop-TJ2p,Educação,4,5250,12.87,0,0.09,gePvbdiY-2COW,2,0
158,uR27CxAI-Tw5z,22,75000,Aluguel,4,C3jJnedi-l1m3,Educação,6,3000,8.9,0,0.04,Lio1wGI9-bdtT,2,0
159,nlgQ2mjj-cW7Q,28,47000,Hipotecada,5,ppL2I9xU-NMDl,Melhoramento do lar,5,6000,8.88,1,0.13,9q03rPJu-sHbx,6,0
160,CccDcA0s-rsxq,24,65000,Aluguel,0,zaS8Dn9B-wiJf,Pessoal,6,4800,7.88,0,0.07,Mswpa4xL-ZkC3,4,0
162,uZlF4dqv-hY7d,25,29000,Aluguel,5,eipmYDTU-Folk,Negócio,6,10000,7.49,1,0.34,XlTG9BxQ-sRYG,2,0
163,wwAHjpsR-gBJO,28,50000,Aluguel,12,eiYh4oJD-X6HL,Médico,4,8000,14.65,0,0.16,e1D4iF8e-0w4R,9,0
164,kx4xZNad-Ypmw,36,15000,Própria,2,259gtDrl-IbQb,Melhoramento do lar,4,5000,13.92,1,0.33,NdKTWPPI-h1ND,11,0
165,UBMQqsOx-2j9d,29,42000,Própria,13,J2rOlfT0-hpDv,Médico,6,2500,6.76,0,0.06,T5KhBaMQ-CibA,5,0
166,9KdRopZK-5eK1,23,54000,Hipotecada,7,7opO5Ykw-Zb02,Médico,6,13500,9.63,0,0.25,84r3k99w-B7GH,2,0
167,zN50HoGr-o9E1,29,38400,Aluguel,4,BQF9phEw-myME,Negócio,5,3550,11.49,0,0.09,OgBJoYjy-70Yz,7,0
168,1ANi5Rue-HQ4h,24,60000,Hipotecada,0,AScpKX4r-sBL2,Educação,3,8000,15.65,0,0.13,F1XtJ05K-4dM3,3,0
170,MKM7QJze-OyuM,25,54000,Hipotecada,9,ct6W8N79-J8vq,Quitação de dividas,5,12000,12.53,1,0.22,T5OBOp5W-rW6G,4,0
171,4ovUuef3-v4sB,24,35000,Aluguel,1,iGQcwG4h-Yag6,Médico,4,4500,12.87,0,0.13,vdQuGqAF-BPbh,3,1
172,zjfoYKKD-w0MI,24,88000,Hipotecada,2,bkkFivp2-MCQn,Pessoal,6,8000,5.99,0,0.09,qKflXH8K-hwKH,4,0
173,WKNAdUAg-qhzc,28,73200,Aluguel,2,Z4rouUWT-Hrhf,Negócio,6,12000,8.9,0,0.16,M2aelJWj-Y1rT,5,0
174,Q4JAXx6K-myPW,24,49812,Aluguel,4,h3FUs4PL-cFRJ,Médico,6,15000,6.17,0,0.3,zWkiSe2z-q3zQ,3,0
175,IUkNmlvx-g8Gm,22,73000,Hipotecada,5,Alj9mpRq-56Sa,Quitação de dividas,4,22000,15.96,0,0.3,TZg3nTq7-vLtY,4,1
176,mPmL4Pzx-qL9E,28,63000,Hipotecada,3,vWLmv4vK-Uz3C,Quitação de dividas,3,11200,14.42,1,0.18,sgf5j4Qs-mkU8,7,1
177,HHAk1O2c-CfSD,31,42000,Aluguel,2,gowRJZDi-o4Mk,Médico,6,7000,7.9,0,0.17,OqGcisXj-7GB0,7,0
178,fGJsHZYr-C7bf,28,41000,Aluguel,1,lmZzkOqi-K9Dx,Médico,5,9000,9.88,0,0.22,w0jxXwTL-f0v9,8,0
179,G0UApxLy-OfNs,24,85000,Hipotecada,1,AEHMgpKU-JKpv,Quitação de dividas,6,12000,7.88,0,0.14,SbcAgSJM-Ybpl,3,0
180,58SzBJPX-2aPl,24,36000,Hipotecada,3,yCNoyWOm-D7ls,Médico,4,8000,13.61,0,0.22,BPZKcC6o-r9ko,2,0
